208.631,0,,,-208.631
209.2892,1,,,209.2892
213.364,0,,,-213.364
213.9935,1,,,213.9935
218.3663,0,,,-218.3663
218.8008,1,,,218.8008
223.3943,0,,,-223.3943
223.9889,1,,,223.9889
228.3969,0,,,-228.3969
229.1115,1,,,229.1115
233.3811,0,,,-233.3811
233.8162,1,,,233.8162
238.3868,0,,,-238.3868
239.0043,1,,,239.0043
243.3908,0,,,-243.3908
243.9881,1,,,243.9881
248.4168,0,,,-248.4168
249.0131,1,,,249.0131
253.4055,0,,,-253.4055
254.0969,1,,,254.0969
258.4263,0,,,-258.4263
258.9026,1,,,258.9026
263.4149,0,,,-263.4149
263.8291,1,,,263.8291
,,,,
,,,,6.8595
